[2022-02-20 20:20:53,954] [-] Consumed message: b't5'
[2022-02-20 20:20:53,984] [-] Consumed message: b't6'
[2022-02-20 20:20:54,015] [-] Consumed message: b't7'
[2022-02-20 20:20:54,045] [-] Consumed message: b't8'
[2022-02-20 20:20:54,079] [-] Consumed message: b't1'
[2022-02-20 20:20:54,131] [-] Consumed message: b't2'
[2022-02-20 20:20:54,132] [*] Finished consuming messages
[2022-02-20 20:20:54,194] [-X-] Disconnected from RMQ server
[2022-02-20 20:20:54,407] [-+-] Connected to RMQ server
[2022-02-20 20:20:54,468] [-X-] Disconnected from RMQ server
[2022-02-20 20:20:54,680] [-+-] Connected to RMQ server
[2022-02-20 20:20:54,680] [+] Published messsage to queue foteff
[2022-02-20 20:20:54,751] [-X-] Disconnected from RMQ server
[2022-02-20 20:20:54,960] [-+-] Connected to RMQ server
[2022-02-20 20:20:54,961] [+] Published messsage to queue foteff
[2022-02-20 20:20:54,961] [*] Started consuming messages all messages from queue 'foteff'
[2022-02-20 20:20:54,991] [-] Consumed message: b'Test message for my private channel. Go Away!'
[2022-02-20 20:20:55,020] [-] Consumed message: b'Test message for my private channel. Go Away!'
[2022-02-20 20:20:55,054] [-] Consumed all 2 available messages in the queue
[2022-02-20 20:20:55,054] [*] Finished consuming messages
[2022-02-20 20:20:55,343] [-+-] Connected to RMQ server
[2022-02-20 20:20:55,343] [+] Published messsage to queue foteff
[2022-02-20 20:20:55,344] [+] Published messsage to queue foteff
[2022-02-20 20:20:55,344] [+] Published messsage to queue foteff
[2022-02-20 20:20:55,344] [+] Published messsage to queue foteff
[2022-02-20 20:20:55,345] [+] Published messsage to queue foteff
[2022-02-20 20:20:55,345] [+] Published messsage to queue foteff
[2022-02-20 20:20:55,346] [+] Published messsage to queue foteff
[2022-02-20 20:20:55,346] [+] Published messsage to queue foteff
[2022-02-20 20:20:55,346] [*] Started consuming messages all messages from queue 'foteff'
[2022-02-20 20:20:55,382] [-] Consumed message: b't1'
[2022-02-20 20:20:55,411] [-] Consumed message: b't2'
[2022-02-20 20:20:55,444] [-] Consumed message: b't3'
[2022-02-20 20:20:55,472] [-] Consumed message: b't4'
[2022-02-20 20:20:55,501] [-] Consumed message: b't5'
[2022-02-20 20:20:55,541] [-] Consumed message: b't6'
[2022-02-20 20:20:55,575] [-] Consumed message: b't7'
[2022-02-20 20:20:55,605] [-] Consumed message: b't8'
[2022-02-20 20:20:55,634] [-] Consumed all 8 available messages in the queue
[2022-02-20 20:20:55,634] [*] Finished consuming messages
[2022-02-20 20:20:55,699] [-X-] Disconnected from RMQ server
[2022-02-20 20:21:27,872] [+] Published messsage to queue general
[2022-02-20 20:21:29,911] [*] Started consuming messages all messages from queue 'general'
[2022-02-20 20:21:29,944] [-] Consumed message: b'TEST MESSAGE FOR CONSUMPTION'
[2022-02-20 20:21:29,973] [-] Consumed all 1 available messages in the queue
[2022-02-20 20:21:29,974] [*] Finished consuming messages
